scenario,rep,phase,consensus,batch,tps,round_label,name,succ,fail,send_rate_tps,max_latency_s,min_latency_s,avg_latency_s,throughput_tps,SourceFile,SourceFolder,avg_latency_ms
Raft_b10_tps50,1,SUBMIT,Raft,10,50,submitEvidence,submitEvidence,3005,0,50.1,2.22,0.12,0.2,48.3,Raft_b10_tps50_summary_metrics.csv,Raft_b10_tps50,200.0
Raft_b10_tps50,2,SUBMIT,Raft,10,50,submitEvidence,submitEvidence,3005,0,50.1,2.23,0.12,0.2,48.3,Raft_b10_tps50_summary_metrics.csv,Raft_b10_tps50,200.0
Raft_b10_tps50,3,SUBMIT,Raft,10,50,submitEvidence,submitEvidence,3005,0,50.1,2.33,0.12,0.26,48.2,Raft_b10_tps50_summary_metrics.csv,Raft_b10_tps50,260.0
Raft_b10_tps50,4,SUBMIT,Raft,10,50,submitEvidence,submitEvidence,3005,0,50.1,2.27,0.14,0.3,48.3,Raft_b10_tps50_summary_metrics.csv,Raft_b10_tps50,300.0
Raft_b10_tps50,5,SUBMIT,Raft,10,50,submitEvidence,submitEvidence,3005,0,50.1,2.15,0.14,0.27,48.4,Raft_b10_tps50_summary_metrics.csv,Raft_b10_tps50,270.0
Raft_b10_tps50,1,RETRIEVE,Raft,10,50,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3005,0,50.1,2.14,0.1,0.2,48.4,Raft_b10_tps50_summary_metrics.csv,Raft_b10_tps50,200.0
Raft_b10_tps50,2,RETRIEVE,Raft,10,50,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3005,0,50.1,2.16,0.11,0.2,48.3,Raft_b10_tps50_summary_metrics.csv,Raft_b10_tps50,200.0
Raft_b10_tps50,3,RETRIEVE,Raft,10,50,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3005,0,50.1,2.26,0.12,0.24,48.3,Raft_b10_tps50_summary_metrics.csv,Raft_b10_tps50,240.0
Raft_b10_tps50,4,RETRIEVE,Raft,10,50,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3005,0,50.1,2.23,0.12,0.23,48.3,Raft_b10_tps50_summary_metrics.csv,Raft_b10_tps50,230.0
Raft_b10_tps50,5,RETRIEVE,Raft,10,50,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3005,0,50.1,2.28,0.12,0.25,48.3,Raft_b10_tps50_summary_metrics.csv,Raft_b10_tps50,250.0
