consensus,batch,tps,round_label,phase,orderer_cpu_avg_per_tps__n,orderer_cpu_avg_per_tps__mean,orderer_cpu_avg_per_tps__ci95_low,orderer_cpu_avg_per_tps__ci95_high,orderer_cpu_avg_per_tps__sd,orderer_cpu_cluster_per_tps__n,orderer_cpu_cluster_per_tps__mean,orderer_cpu_cluster_per_tps__ci95_low,orderer_cpu_cluster_per_tps__ci95_high,orderer_cpu_cluster_per_tps__sd,orderer_mb_total_per_tx__n,orderer_mb_total_per_tx__mean,orderer_mb_total_per_tx__ci95_low,orderer_mb_total_per_tx__ci95_high,orderer_mb_total_per_tx__sd,orderer_mb_in_per_tx__n,orderer_mb_in_per_tx__mean,orderer_mb_in_per_tx__ci95_low,orderer_mb_in_per_tx__ci95_high,orderer_mb_in_per_tx__sd,orderer_mb_out_per_tx__n,orderer_mb_out_per_tx__mean,orderer_mb_out_per_tx__ci95_low,orderer_mb_out_per_tx__ci95_high,orderer_mb_out_per_tx__sd,orderer_in_out_ratio__n,orderer_in_out_ratio__mean,orderer_in_out_ratio__ci95_low,orderer_in_out_ratio__ci95_high,orderer_in_out_ratio__sd,orderer_bw_total_mbps__n,orderer_bw_total_mbps__mean,orderer_bw_total_mbps__ci95_low,orderer_bw_total_mbps__ci95_high,orderer_bw_total_mbps__sd
Raft,10,50,submitEvidence,SUBMIT,5.0,0.007453643078694332,0.006902777432655276,0.008004508724733388,0.00044372227341954874,5.0,0.029814572314777327,0.027611109730621104,0.03201803489893355,0.001774889093678195,5.0,0.08421297836938436,0.08403192894890353,0.0843940277898652,0.00014583530672985292,5.0,0.03818302828618969,0.03808353266219897,0.03828252391018041,8.014372431808364e-05,5.0,0.04602995008319467,0.04594675734620562,0.04611314282018373,6.701174897038812e-05,5.0,0.8295251887926061,0.828704938279066,0.8303454393061461,0.000660711782008155,5.0,32.539907088186354,32.440291062979,32.63952311339371,0.0802407074971081
Raft,10,100,submitEvidence,SUBMIT,5.0,0.008071104816267879,0.00784521941901249,0.008296990213523267,0.00018195068565835486,5.0,0.032284419265071515,0.03138087767604996,0.03318796085409307,0.0007278027426334194,5.0,0.08368469332499308,0.08346661320511393,0.08390277344487222,0.00017566353479505172,5.0,0.03789922872021123,0.03778972476113017,0.03800873267929229,8.820543815223612e-05,5.0,0.04578546460478185,0.04567658605820372,0.04589434315135998,8.770166838619175e-05,5.0,0.8277562739625026,0.827276290731739,0.8282362571932662,0.00038662648848970555,5.0,54.99452013897843,47.357504817881726,62.631535460075135,6.15161577924338
Raft,10,150,submitEvidence,SUBMIT,5.0,0.008694581280788179,0.008023890550304112,0.009365272011272246,0.0005402413779687909,5.0,0.034778325123152716,0.03209556220121645,0.037461088045088985,0.0021609655118751637,5.0,0.10283374770430269,0.08872494996467825,0.11694254544392713,0.011364636464911962,5.0,0.04666508009008533,0.040187683068730884,0.05314247711143978,0.005217543248200001,5.0,0.05616866761421735,0.04853599716896448,0.06380133805947022,0.006148115981786388,5.0,0.8306257605867687,0.8268676199615635,0.8343839012119739,0.0030271822431420484,5.0,62.84658262386292,57.539903615948695,68.15326163177714,4.27452989786288
Raft,10,200,submitEvidence,SUBMIT,5.0,0.008233161408071912,0.007884887423640038,0.008581435392503787,0.00028053469163702275,5.0,0.03293264563228765,0.03153954969456015,0.034325741570015146,0.001122138766548091,5.0,0.25060094612340933,0.19361036209259286,0.3075915301542258,0.04590591497489901,5.0,0.11947695240564378,0.09061332368128383,0.14834058113000373,0.023249652703524644,5.0,0.13112399371776556,0.10297988954185158,0.15926809789367954,0.022670075685583345,5.0,0.9075245075021637,0.8726816537713545,0.9423673612329729,0.028065918397756313,5.0,200.03756131251913,154.55520893011317,245.5199136949251,36.636034475381564
Raft,100,50,submitEvidence,SUBMIT,5.0,0.006312026247796999,0.005841466461077464,0.006782586034516534,0.0003790359043885743,5.0,0.025248104991187997,0.023365865844309858,0.027130344138066136,0.0015161436175542972,5.0,0.08297711257535048,0.08288627210633424,0.08306795304436672,7.317199705629797e-05,5.0,0.03765637610762942,0.03760251508904945,0.037710237126209384,4.338505002960454e-05,5.0,0.04532073646772105,0.045275741466673805,0.045365731468768294,3.6243472978857243e-05,5.0,0.8308862400055899,0.8300218283341434,0.8317506516770363,0.0006962835943438404,5.0,32.07563976001393,32.016713981037974,32.13456553898988,0.04746471448752006
Raft,100,100,submitEvidence,SUBMIT,5.0,0.005207046953170612,0.005001749837277446,0.005412344069063778,0.00016536682518795772,5.0,0.020828187812682447,0.020006999349109784,0.02164937627625511,0.0006614673007518309,5.0,0.08276160531114736,0.08263948054720073,0.08288373007509399,9.837149636915952e-05,5.0,0.03753080668984084,0.03746813169374355,0.037593481685938124,5.048470884836455e-05,5.0,0.04523079862130653,0.04515886314311609,0.04530273409949697,5.794402709934382e-05,5.0,0.8297625462991831,0.8286206880422915,0.8309044045560747,0.0009197668166711327,5.0,63.95814460443803,63.87826198750177,64.03802722137429,0.06434544729468535
Raft,100,150,submitEvidence,SUBMIT,5.0,0.006056263880625329,0.005630390162535588,0.0064821375987150695,0.0003430412764694674,5.0,0.024225055522501315,0.022521560650142353,0.025928550394860278,0.0013721651058778697,5.0,0.08254486537046525,0.082506986258872,0.0825827444820585,3.0511624081343044e-05,5.0,0.03739783219303359,0.037355980129692566,0.03743968425637461,3.371183668197321e-05,5.0,0.04514703317743166,0.04512657463547909,0.04516749171938424,1.6479355376976764e-05,5.0,0.8283565447145825,0.8272164978027172,0.8294965916264478,0.0009183077782670837,5.0,95.40865508677616,95.0297398749328,95.78757029861953,0.305216200068625
Raft,100,200,submitEvidence,SUBMIT,5.0,0.005754443045273712,0.0048310650165441695,0.006677821074003254,0.0007437809946574248,5.0,0.023017772181094846,0.019324260066176678,0.026711284296013015,0.002975123978629699,5.0,0.08227507341909862,0.08213934018750589,0.08241080665069135,0.0001093331169477887,5.0,0.03727061792925203,0.03717769964573584,0.037363536212768216,7.484567661915977e-05,5.0,0.04500445548984659,0.04493868928736032,0.045070221692332865,5.2974675569639345e-05,5.0,0.82815417574975,0.8262857553510036,0.8300225961484965,0.0015050126160462312,5.0,119.40765767665997,113.99108830592654,124.82422704739339,4.363046584223053
Raft,300,50,submitEvidence,SUBMIT,5.0,0.0050874824148969475,0.004623361355435781,0.005551603474358114,0.0003738495096341467,5.0,0.02034992965958779,0.018493445421743124,0.022206413897432456,0.001495398038536587,5.0,0.08293643926788687,0.08277810631360293,0.0830947722221708,0.00012753719339237906,5.0,0.03763727121464226,0.0375546445962657,0.03771989783301882,6.655574043261132e-05,5.0,0.04529916805324459,0.045221459486741826,0.045376876619747354,6.259424968812665e-05,5.0,0.8308598234584696,0.8302131480804209,0.8315064988365184,0.0005208970117767866,5.0,32.723399667221294,32.459662352938466,32.98713698150412,0.2124404045171572
Raft,300,100,submitEvidence,SUBMIT,5.0,0.004161457488892311,0.0037261734019608636,0.004596741575823758,0.0003506213284951886,5.0,0.016645829955569243,0.014904693607843454,0.018386966303295033,0.0014024853139807543,5.0,0.08269832582072383,0.082583496388337,0.08281315525311066,9.249510685687052e-05,5.0,0.03749416944421108,0.03741820366295477,0.037570135225467385,6.11904361862312e-05,5.0,0.04520415637651275,0.04513179652882294,0.045276516224202555,5.828585672764403e-05,5.0,0.829441576298057,0.8275192688978971,0.831363883698217,0.0015484185952480305,5.0,64.94134993665784,64.81608145783453,65.06661841548116,0.10090375867684663
