scenario,consensus,batch,tps,round_label,phase,rep,role,role_count,cpu_avg_mean,cpu_max_peak,mem_avg_mb_mean,mem_max_mb_peak,traffic_in_mb_sum,traffic_out_mb_sum,disk_write_mb_sum,disk_read_b_sum,tx_duration_s,traffic_in_mbps,traffic_out_mbps,disk_write_mb_per_s,succ,fail,throughput_tps,orderer_cpu_avg_per_tps,orderer_cpu_cluster_per_tps,orderer_mb_total_sum,orderer_mb_total_per_tx,orderer_mb_in_per_tx,orderer_mb_out_per_tx,orderer_bw_total_mbps,orderer_in_out_ratio
Raft_b100_tps100,Raft,100,100,retrieveEvidenceAndLog,RETRIEVE,1,orderer,4,0.4825,0.86,176.0,187.0,178.7,214.6,298.4,0.0,62.16356107660456,22.997395503746876,27.617465445462113,4.800239800166527,6005,0,96.6,0.004994824016563147,0.019979296066252587,393.29999999999995,0.06549542048293089,0.029758534554537884,0.035736885928393004,50.61486094920899,0.8327120223671948
Raft_b100_tps100,Raft,100,100,retrieveEvidenceAndLog,RETRIEVE,2,orderer,4,0.495,0.84,173.75,185.0,178.79999999999998,215.3,298.4,0.0,62.099276111685626,23.034084929225642,27.736233139050793,4.805208992506245,6005,0,96.7,0.005118924508790072,0.02047569803516029,394.1,0.06562864279766861,0.029775187343880096,0.03585345545378851,50.77031806827644,0.8304691128657685
Raft_b100_tps100,Raft,100,100,retrieveEvidenceAndLog,RETRIEVE,3,orderer,4,0.47250000000000003,0.9,175.75,185.0,178.5,214.94,298.4,0.0,62.16356107660456,22.97165695253955,27.661220982514568,4.800239800166527,6005,0,96.6,0.004891304347826087,0.01956521739130435,393.44,0.06551873438801,0.029725228975853456,0.035793505412156534,50.63287793505412,0.8304643156229646
Raft_b100_tps100,Raft,100,100,retrieveEvidenceAndLog,RETRIEVE,4,orderer,4,0.4975,0.85,176.0,187.0,178.9,215.0,298.4,0.0,62.099276111685626,23.046967527060783,27.697585345545377,4.805208992506245,6005,0,96.7,0.00514477766287487,0.02057911065149948,393.9,0.06559533721898418,0.029791840133222315,0.035803497085761866,50.744552872606164,0.832093023255814
Raft_b100_tps100,Raft,100,100,retrieveEvidenceAndLog,RETRIEVE,5,orderer,4,0.485,0.95,177.75,189.0,178.9,214.9,298.4,0.0,62.099276111685626,23.046967527060783,27.684702747710244,4.805208992506245,6005,0,96.7,0.005015511892450879,0.020062047569803516,393.8,0.06557868442964197,0.029791840133222315,0.03578684429641965,50.73167027477103,0.8324802233597022
Raft_b100_tps100,Raft,100,100,submitEvidence,SUBMIT,1,orderer,4,0.47750000000000004,0.97,126.75,178.0,225.4,271.9,380.8,0.0,62.173913043478265,29.002517482517483,34.98573426573426,6.124755244755245,6006,0,96.6,0.0049430641821946175,0.01977225672877847,497.29999999999995,0.08280053280053279,0.03752913752913753,0.045271395271395266,63.98825174825174,0.8289812431040826
Raft_b100_tps100,Raft,100,100,submitEvidence,SUBMIT,2,orderer,4,0.5075000000000001,0.89,128.0,170.0,225.0,271.0,380.8,0.0,62.099276111685626,28.98584512905912,34.91184013322231,6.132116569525396,6005,0,96.7,0.005248190279214065,0.02099276111685626,496.0,0.08259783513738551,0.03746877601998335,0.045129059117402164,63.89768526228143,0.8302583025830259
Raft_b100_tps100,Raft,100,100,submitEvidence,SUBMIT,3,orderer,4,0.5,0.97,129.5,172.0,225.8,271.7,380.8,0.0,62.16356107660456,29.05882431307244,34.96582181515404,6.12577518734388,6005,0,96.6,0.005175983436853002,0.020703933747412008,497.5,0.08284762697751874,0.03760199833472107,0.045245628642797665,64.02464612822648,0.8310636731689364
Raft_b100_tps100,Raft,100,100,submitEvidence,SUBMIT,4,orderer,4,0.51,0.88,129.0,172.0,225.2,271.7,380.8,0.0,62.2279792746114,28.95160699417152,34.9296253122398,6.119433805162365,6005,0,96.5,0.005284974093264249,0.021139896373056997,496.9,0.08274771024146545,0.037502081598667775,0.045245628642797665,63.88123230641132,0.8288553551711445
Raft_b100_tps100,Raft,100,100,submitEvidence,SUBMIT,5,orderer,4,0.52,0.87,132.0,181.0,225.5,271.8,380.8,0.0,62.16356107660456,29.020216486261447,34.9786910907577,6.12577518734388,6005,0,96.6,0.005383022774327123,0.02153209109730849,497.3,0.08281432139883431,0.03755203996669442,0.04526228143213989,63.998907577019146,0.829654157468727
