consensus,batch,tps,round_label,phase,role,cpu_avg_mean__n,cpu_avg_mean__mean,cpu_avg_mean__ci95_low,cpu_avg_mean__ci95_high,cpu_max_peak__n,cpu_max_peak__mean,cpu_max_peak__ci95_low,cpu_max_peak__ci95_high,mem_avg_mb_mean__n,mem_avg_mb_mean__mean,mem_avg_mb_mean__ci95_low,mem_avg_mb_mean__ci95_high,mem_max_mb_peak__n,mem_max_mb_peak__mean,mem_max_mb_peak__ci95_low,mem_max_mb_peak__ci95_high,traffic_in_mb_sum__n,traffic_in_mb_sum__mean,traffic_in_mb_sum__ci95_low,traffic_in_mb_sum__ci95_high,traffic_out_mb_sum__n,traffic_out_mb_sum__mean,traffic_out_mb_sum__ci95_low,traffic_out_mb_sum__ci95_high,traffic_in_mbps__n,traffic_in_mbps__mean,traffic_in_mbps__ci95_low,traffic_in_mbps__ci95_high,traffic_out_mbps__n,traffic_out_mbps__mean,traffic_out_mbps__ci95_low,traffic_out_mbps__ci95_high,disk_write_mb_sum__n,disk_write_mb_sum__mean,disk_write_mb_sum__ci95_low,disk_write_mb_sum__ci95_high,disk_write_mb_per_s__n,disk_write_mb_per_s__mean,disk_write_mb_per_s__ci95_low,disk_write_mb_per_s__ci95_high,disk_read_b_sum__n,disk_read_b_sum__mean,disk_read_b_sum__ci95_low,disk_read_b_sum__ci95_high,n_reps,throughput_mean,throughput_ci95_low,throughput_ci95_high,avg_latency_mean_ms,avg_latency_ci95_low_ms,avg_latency_ci95_high_ms,send_rate_mean,succ_total,fail_total,total_tx,fail_rate,orderer_cpu_avg_per_tps
Raft,10,50,submitEvidence,SUBMIT,orderer,5.0,0.36,0.3336645516461177,0.3863354483538823,5.0,0.6859999999999999,0.6205428853675935,0.7514571146324064,5.0,100.08000000000001,98.84741223501125,101.31258776498878,5.0,134.2,127.90637269613141,140.49362730386855,5.0,114.73999999999998,114.44101564990788,115.03898435009208,5.0,138.32,138.07000582534786,138.56999417465212,5.0,14.753932778702161,14.701003337634328,14.806862219769995,5.0,17.785974309484192,17.739210498328617,17.832738120639767,5.0,200.56,200.28800865896136,200.83199134103864,5.0,3.2236405990016634,3.2191269918750414,3.2281542061282855,5.0,0.0,0.0,0.0,5.0,48.3,48.21221517215373,48.387784827846275,246.0,190.75829749184047,301.2417025081595,50.1,15025,0,15025,0.0,0.007453416149068323
Raft,10,100,submitEvidence,SUBMIT,orderer,5.0,0.6639999999999999,0.5583249684362478,0.769675031563752,5.0,1.3400000000000003,1.3048860688614905,1.37511393113851,5.0,132.5,126.56234430098881,138.43765569901117,5.0,179.2,173.15622020255535,185.24377979744463,5.0,227.6,226.96091680666754,228.23908319333245,5.0,274.96000000000004,274.3294140172824,275.5905859827177,5.0,24.9061670887536,21.444828904607537,28.367505272899667,5.0,30.08835305022483,25.912658655524105,34.26404744492555,5.0,400.0,400.0,400.0,5.0,5.471078019953957,4.716631817008271,6.225524222899643,5.0,0.0,0.0,0.0,5.0,82.14000000000001,70.8138519609887,93.46614803901132,8554.0,478.7376715938208,16629.262328406177,100.04,30027,0,30027,0.0,0.008083759435110784
Raft,10,150,submitEvidence,SUBMIT,orderer,5.0,0.6655,0.6500750791250003,0.6809249208749997,5.0,2.194,2.063616625845164,2.324383374154836,5.0,160.85,158.2292883867163,163.4707116132837,5.0,188.2,184.98654767578543,191.41345232421455,5.0,340.52,340.113906209848,340.926093790152,5.0,409.96000000000004,408.1855300753183,411.7344699246818,5.0,28.518313435842543,26.053511603018592,30.983115268666495,5.0,34.328269188020386,31.485576028907786,37.170962347132985,5.0,600.0,600.0,600.0,5.0,6.281113493462376,5.740305895186788,6.8219210917379645,5.0,0.0,0.0,0.0,5.0,76.74000000000001,71.63216000000001,81.84784,36026.0,32051.14409600348,40000.85590399652,150.06,36903,8124,45027,0.1804250782863615,0.008672139692468073
Raft,10,200,submitEvidence,SUBMIT,orderer,5.0,0.8215000000000001,0.7869669616743619,0.8560330383256384,5.0,2.7079999999999997,2.640914928754603,2.7750850712453965,5.0,165.85,163.87972434415892,167.82027565584107,5.0,196.4,193.41015649907894,199.38984350092107,5.0,452.58000000000004,451.4892050722524,453.6707949277477,5.0,499.1,478.8441384096356,519.3558615903644,5.0,95.37005639258291,72.33567317236118,118.40443961280464,5.0,104.66750491993623,82.20571164001903,127.12929819985344,5.0,800.0,800.0,800.0,5.0,21.0754505636448,15.967292697735367,26.183608429554234,5.0,0.0,0.0,0.0,5.0,99.78,99.72448,99.83552,38026.0,37058.34994907456,38993.65005092544,199.94,19743,40261,60004,0.6709719352043197,0.008233112848266187
Raft,100,50,submitEvidence,SUBMIT,orderer,5.0,0.305,0.28219283270548484,0.32780716729451514,5.0,0.6,0.5561075860768628,0.6438924139231371,5.0,103.225,101.88340627163063,104.56659372836936,5.0,138.6,135.24574643773013,141.95425356226986,5.0,113.17999999999999,113.01813277539908,113.3418672246009,5.0,136.21599999999998,136.08211734475293,136.34988265524703,5.0,14.556451015841585,14.527463612093435,14.585438419589735,5.0,17.519188744172336,17.487004181812328,17.551373306532344,5.0,192.0,192.0,192.0,5.0,3.0867185998055575,3.082605832790568,3.090831366820547,5.0,0.0,0.0,0.0,5.0,48.32000000000001,48.264480000000006,48.37552000000001,1350.0,1237.923834469589,1462.076165530411,50.059999999999995,15028,0,15028,0.0,0.006312086092715231
Raft,100,100,submitEvidence,SUBMIT,orderer,5.0,0.503,0.48319970444665034,0.5228002955533497,5.0,0.916,0.8541755445151356,0.9778244554848645,5.0,129.05,126.62199163098643,131.4780083690136,5.0,174.6,168.80354182625285,180.39645817374713,5.0,225.38000000000002,225.0034450393369,225.75655496066315,5.0,271.62,271.17757840197385,272.06242159802616,5.0,29.003802081016396,28.95435612000557,29.05324804202722,5.0,34.95434252342163,34.91446336279724,34.99422168404602,5.0,380.8,380.8,380.8,5.0,6.125571198826153,6.1199756998952175,6.131166697757088,5.0,0.0,0.0,0.0,5.0,96.6,96.51221517215372,96.68778482784629,830.0,725.3923046807741,934.607695319226,100.08,30026,0,30026,0.0,0.005207039337474121
Raft,100,150,submitEvidence,SUBMIT,orderer,5.0,0.875,0.8135898226675741,0.9364101773324259,5.0,1.6199999999999999,1.4311095691147906,1.8088904308852092,5.0,144.6,143.2722998230022,145.9277001769978,5.0,185.2,180.77578401973864,189.62421598026134,5.0,336.76000000000005,336.3814040760917,337.1385959239084,5.0,406.5400000000001,406.3734400000001,406.7065600000001,5.0,43.22591822017039,43.04462319262601,43.40721324771477,5.0,52.182736866605765,51.97979751773294,52.38567621547859,5.0,572.0,572.0,572.0,5.0,9.177612268814576,9.141147761685112,9.21407677594404,5.0,0.0,0.0,0.0,5.0,144.48,143.90838661457238,145.0516133854276,822.0,724.4837388739703,919.5162611260296,150.06,45024,0,45024,0.0,0.006056201550387597
Raft,100,200,submitEvidence,SUBMIT,orderer,5.0,1.041,0.9015146321078802,1.1804853678921197,5.0,2.1420000000000003,2.0078873056567725,2.276112694343228,5.0,155.4,154.26812025373718,156.53187974626283,5.0,194.2,190.98654767578543,197.41345232421455,5.0,447.12,446.46073652732764,447.77926347267237,5.0,539.9,539.3957145570215,540.4042854429784,5.0,54.09214909646287,51.61517315729765,56.56912503562809,5.0,65.3155085801971,62.37445742546684,68.25655973492738,5.0,760.0,760.0,760.0,5.0,11.49291893017509,10.97115531617724,12.01468254417294,5.0,0.0,0.0,0.0,5.0,181.42,173.00116497712423,189.8388350228758,6304.0,2780.320946792118,9827.67905320788,199.88,59983,0,59983,0.0,0.005738066365340095
Raft,300,50,submitEvidence,SUBMIT,orderer,5.0,0.251,0.22640457733642294,0.27559542266357706,5.0,0.59,0.47792383446958936,0.7020761655304106,5.0,100.41499999999999,99.97465166788098,100.85534833211901,5.0,140.0,135.19182695818878,144.80817304181122,5.0,113.1,112.85170701177843,113.34829298822156,5.0,136.124,135.8904857576592,136.35751424234078,5.0,14.850151081530779,14.73171260669693,14.968589556364627,5.0,17.873248585690515,17.727662256514346,18.018834914866684,5.0,192.32,192.09792,192.54208,5.0,3.15649384359401,3.1283419310541323,3.1846457561338877,5.0,0.0,0.0,0.0,5.0,49.32,48.93334794142537,49.70665205857463,1362.0,1257.6135408015004,1466.3864591984996,50.1,15025,0,15025,0.0,0.005089213300892133
Raft,300,100,submitEvidence,SUBMIT,orderer,5.0,0.4085000000000001,0.3655728601465228,0.4514271398534774,5.0,0.764,0.7204601412955899,0.8075398587044101,5.0,137.7,136.8672,138.53279999999998,5.0,198.0,192.80657954715778,203.19342045284222,5.0,225.16,224.690535801578,225.629464198422,5.0,271.46,271.02460141295586,271.8953985870441,5.0,29.44343916400003,29.361658886604957,29.5252194413951,5.0,35.49791077265782,35.43800879865012,35.55781274666552,5.0,388.56,388.28800865896136,388.83199134103864,5.0,6.351339101531275,6.340391046572396,6.362287156490154,5.0,0.0,0.0,0.0,5.0,98.16,98.04896,98.27104,1614.0,1418.7700164011685,1809.2299835988315,100.08,30026,0,30026,0.0,0.0041615729421352905
