consensus,batch,tps,round_label,phase,role,cpu_avg_mean__n,cpu_avg_mean__mean,cpu_avg_mean__ci95_low,cpu_avg_mean__ci95_high,cpu_max_peak__n,cpu_max_peak__mean,cpu_max_peak__ci95_low,cpu_max_peak__ci95_high,mem_avg_mb_mean__n,mem_avg_mb_mean__mean,mem_avg_mb_mean__ci95_low,mem_avg_mb_mean__ci95_high,mem_max_mb_peak__n,mem_max_mb_peak__mean,mem_max_mb_peak__ci95_low,mem_max_mb_peak__ci95_high,traffic_in_mb_sum__n,traffic_in_mb_sum__mean,traffic_in_mb_sum__ci95_low,traffic_in_mb_sum__ci95_high,traffic_out_mb_sum__n,traffic_out_mb_sum__mean,traffic_out_mb_sum__ci95_low,traffic_out_mb_sum__ci95_high,traffic_in_mbps__n,traffic_in_mbps__mean,traffic_in_mbps__ci95_low,traffic_in_mbps__ci95_high,traffic_out_mbps__n,traffic_out_mbps__mean,traffic_out_mbps__ci95_low,traffic_out_mbps__ci95_high,disk_write_mb_sum__n,disk_write_mb_sum__mean,disk_write_mb_sum__ci95_low,disk_write_mb_sum__ci95_high,disk_write_mb_per_s__n,disk_write_mb_per_s__mean,disk_write_mb_per_s__ci95_low,disk_write_mb_per_s__ci95_high,disk_read_b_sum__n,disk_read_b_sum__mean,disk_read_b_sum__ci95_low,disk_read_b_sum__ci95_high
Raft,10,50,submitEvidence,SUBMIT,ca,5.0,0.0,0.0,0.0,5.0,0.002,-0.0035519999999999996,0.007552,5.0,9.899333333333335,9.573405764818148,10.225260901848522,5.0,11.14,10.998451218302664,11.281548781697337,5.0,0.0007334,0.0001847654733408041,0.001282034526659196,5.0,0.0,0.0,0.0,5.0,9.434308153078203e-05,2.3798255715277354e-05,0.0001648879073462867,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Raft,10,100,submitEvidence,SUBMIT,ca,5.0,0.0,0.0,0.0,5.0,0.008,-0.005599567051932203,0.0215995670519322,5.0,10.107333333333333,9.562804738864891,10.651861927801775,5.0,11.1,10.808850663747966,11.391149336252033,5.0,0.00064368,-0.00034044341802372236,0.0016278034180237223,5.0,0.0,0.0,0.0,5.0,7.012390565371347e-05,-3.795777403897883e-05,0.00017820558534640578,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Raft,10,150,submitEvidence,SUBMIT,ca,5.0,0.0,0.0,0.0,5.0,0.008,-0.005599567051932203,0.0215995670519322,5.0,9.819999999999999,9.490472182877108,10.14952781712289,5.0,11.1,10.63548635326828,11.564513646731719,5.0,0.0022496,0.0005616106109311706,0.003937589389068829,5.0,0.0,0.0,0.0,5.0,0.00018718774530521182,4.610639543128675e-05,0.0003282690951791369,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Raft,10,200,submitEvidence,SUBMIT,ca,5.0,0.0,0.0,0.0,5.0,0.008,-0.00818672246009055,0.02418672246009055,5.0,10.061333333333334,9.451100028271883,10.671566638394784,5.0,11.080000000000002,10.770877722575678,11.389122277424326,5.0,0.0020608000000000002,0.0002361999238012075,0.0038854000761987927,5.0,0.0,0.0,0.0,5.0,0.0003915387378589356,0.00014165850122607564,0.0006414189744917956,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Raft,100,50,submitEvidence,SUBMIT,ca,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,9.939333333333334,9.773716760764845,10.104949905901822,5.0,10.979999999999999,10.658654767578541,11.301345232421456,5.0,0.001661,-0.00027965710645605816,0.003601657106456058,5.0,0.0,0.0,0.0,5.0,0.00021354383416177558,-3.597848256263247e-05,0.00046306615088618363,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Raft,100,100,submitEvidence,SUBMIT,ca,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,10.294,10.108369738175888,10.479630261824113,5.0,11.000000000000002,10.784971964618565,11.215028035381438,5.0,0.0007334,0.0001847654733408041,0.001282034526659196,5.0,0.0,0.0,0.0,5.0,9.437237490902102e-05,2.379793802282592e-05,0.00016494681179521613,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Raft,100,150,submitEvidence,SUBMIT,ca,5.0,0.0,0.0,0.0,5.0,0.006,-0.0007997835259661015,0.012799783525966103,5.0,10.274666666666667,9.747132518344284,10.80220081498905,5.0,10.979999999999999,10.757919999999999,11.202079999999999,5.0,0.0013111999999999998,-0.00017516730278052022,0.0027975673027805198,5.0,0.0,0.0,0.0,5.0,0.00016819802332037752,-2.2449281539700883e-05,0.0003588453281804559,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Raft,100,200,submitEvidence,SUBMIT,ca,5.0,0.0,0.0,0.0,5.0,0.004,-0.007103999999999999,0.015104,5.0,10.096666666666668,9.9148204199147,10.278512913418636,5.0,10.92,10.681199450586897,11.158800549413103,5.0,0.00061652,-0.00012377235439964285,0.0013568123543996427,5.0,0.0,0.0,0.0,5.0,7.357970661562896e-05,-1.3120280933176255e-05,0.00016027969416443417,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Raft,300,50,submitEvidence,SUBMIT,ca,5.0,0.0,0.0,0.0,5.0,0.002,-0.0035519999999999996,0.007552,5.0,10.144,9.68945125019984,10.59854874980016,5.0,11.040000000000001,10.97200216474034,11.107997835259662,5.0,0.000432,-0.00030237662080433907,0.0011663766208043391,5.0,0.0,0.0,0.0,5.0,5.646908485856905e-05,-3.952828970540784e-05,0.00015246645942254593,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Raft,300,100,submitEvidence,SUBMIT,ca,5.0,0.0,0.0,0.0,5.0,0.002,-0.0035519999999999996,0.007552,5.0,10.014666666666667,9.508106035137615,10.521227298195718,5.0,11.0,10.708850663747967,11.291149336252033,5.0,0.0006162000000000001,0.00018303155100972575,0.0010493684489902744,5.0,0.0,0.0,0.0,5.0,8.058804750287182e-05,2.3944517909423633e-05,0.00013723157709632,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
