scenario,consensus,batch,tps,round_label,phase,rep,role,role_count,cpu_avg_mean,cpu_max_peak,mem_avg_mb_mean,mem_max_mb_peak,traffic_in_mb_sum,traffic_out_mb_sum,disk_write_mb_sum,disk_read_b_sum,tx_duration_s,traffic_in_mbps,traffic_out_mbps,disk_write_mb_per_s
Raft_b100_tps100,Raft,100,100,retrieveEvidenceAndLog,RETRIEVE,1,ca,3,0.0,0.0,9.163333333333334,10.1,0.002163,0.0,0.0,0.0,62.16356107660456,0.0002783624313072439,0.0,0.0
Raft_b100_tps100,Raft,100,100,retrieveEvidenceAndLog,RETRIEVE,1,chaincode,2,0.975,2.91,72.6,73.2,18.90541,20.50468,0.0,0.0,62.16356107660456,2.432989316902581,2.638803780849292,0.0
Raft_b100_tps100,Raft,100,100,retrieveEvidenceAndLog,RETRIEVE,1,couchdb,2,3.2249999999999996,6.37,54.35,56.3,15.55,18.96,39.8,0.0,62.16356107660456,2.001172356369692,2.4400146544546213,0.6402464612822647
Raft_b100_tps100,Raft,100,100,retrieveEvidenceAndLog,RETRIEVE,1,orderer,4,0.4825,0.86,176.0,187.0,178.7,214.6,298.4,0.0,62.16356107660456,22.997395503746876,27.617465445462113,4.800239800166527
Raft_b100_tps100,Raft,100,100,retrieveEvidenceAndLog,RETRIEVE,1,peer,2,3.145,7.34,247.5,261.0,172.6,114.45,83.4,0.0,62.16356107660456,22.212369691923396,14.728885928393005,1.3416219816819317
Raft_b100_tps100,Raft,100,100,retrieveEvidenceAndLog,RETRIEVE,2,ca,3,0.0,0.0,9.206666666666665,10.8,0.001683,0.0,0.0,0.0,62.099276111685626,0.0002168141215653622,0.0,0.0
Raft_b100_tps100,Raft,100,100,retrieveEvidenceAndLog,RETRIEVE,2,chaincode,2,0.93,2.64,71.80000000000001,72.7,18.9054,20.50475,0.0,0.0,62.099276111685626,2.4355066511240633,2.6415444796003333,0.0
Raft_b100_tps100,Raft,100,100,retrieveEvidenceAndLog,RETRIEVE,2,couchdb,2,3.3899999999999997,5.89,53.7,55.0,15.55,18.96,39.8,0.0,62.099276111685626,2.0032439633638637,2.4425405495420485,0.6409092422980849
Raft_b100_tps100,Raft,100,100,retrieveEvidenceAndLog,RETRIEVE,2,orderer,4,0.495,0.84,173.75,185.0,178.79999999999998,215.3,298.4,0.0,62.099276111685626,23.034084929225642,27.736233139050793,4.805208992506245
Raft_b100_tps100,Raft,100,100,retrieveEvidenceAndLog,RETRIEVE,2,peer,2,3.1799999999999997,6.66,249.0,260.0,172.6,114.43,83.4,0.0,62.099276111685626,22.235363863447127,14.741556702747712,1.3430108243130725
Raft_b100_tps100,Raft,100,100,retrieveEvidenceAndLog,RETRIEVE,3,ca,3,0.0,0.0,9.346666666666666,10.7,6.68e-05,0.0,0.0,0.0,62.16356107660456,8.596676103247293e-06,0.0,0.0
Raft_b100_tps100,Raft,100,100,retrieveEvidenceAndLog,RETRIEVE,3,chaincode,2,0.955,2.76,72.5,74.3,18.904729999999997,20.50472,0.0,0.0,62.16356107660456,2.4329018058284757,2.6388089285595333,0.0
Raft_b100_tps100,Raft,100,100,retrieveEvidenceAndLog,RETRIEVE,3,couchdb,2,3.375,5.94,54.75,56.2,15.57,18.979999999999997,39.8,0.0,62.16356107660456,2.0037462114904248,2.4425885095753532,0.6402464612822647
Raft_b100_tps100,Raft,100,100,retrieveEvidenceAndLog,RETRIEVE,3,orderer,4,0.47250000000000003,0.9,175.75,185.0,178.5,214.94,298.4,0.0,62.16356107660456,22.97165695253955,27.661220982514568,4.800239800166527
Raft_b100_tps100,Raft,100,100,retrieveEvidenceAndLog,RETRIEVE,3,peer,2,3.11,7.18,245.0,259.0,172.6,114.44,83.4,0.0,62.16356107660456,22.212369691923396,14.727599000832639,1.3416219816819317
Raft_b100_tps100,Raft,100,100,retrieveEvidenceAndLog,RETRIEVE,4,ca,3,0.0,0.0,9.273333333333333,10.7,0.00108,0.0,0.0,0.0,62.099276111685626,0.00013913205661948377,0.0,0.0
Raft_b100_tps100,Raft,100,100,retrieveEvidenceAndLog,RETRIEVE,4,chaincode,2,1.02,4.54,73.05,74.1,18.70517,20.50475,0.0,0.0,62.099276111685626,2.4097118254787677,2.6415444796003333,0.0
Raft_b100_tps100,Raft,100,100,retrieveEvidenceAndLog,RETRIEVE,4,couchdb,2,3.39,6.49,54.0,55.3,15.600000000000001,18.979999999999997,39.8,0.0,62.099276111685626,2.0096852622814323,2.4451170691090756,0.6409092422980849
Raft_b100_tps100,Raft,100,100,retrieveEvidenceAndLog,RETRIEVE,4,orderer,4,0.4975,0.85,176.0,187.0,178.9,215.0,298.4,0.0,62.099276111685626,23.046967527060783,27.697585345545377,4.805208992506245
Raft_b100_tps100,Raft,100,100,retrieveEvidenceAndLog,RETRIEVE,4,peer,2,2.91,6.47,251.5,261.0,172.6,114.49,83.4,0.0,62.099276111685626,22.235363863447127,14.749286261448791,1.3430108243130725
Raft_b100_tps100,Raft,100,100,retrieveEvidenceAndLog,RETRIEVE,5,ca,3,0.0,0.0,9.346666666666666,11.0,0.001214,0.0,0.0,0.0,62.099276111685626,0.00015639473771856787,0.0,0.0
Raft_b100_tps100,Raft,100,100,retrieveEvidenceAndLog,RETRIEVE,5,chaincode,2,1.0,3.02,73.25,74.2,18.90515,20.50479,0.0,0.0,62.099276111685626,2.435474444629475,2.641549632639467,0.0
Raft_b100_tps100,Raft,100,100,retrieveEvidenceAndLog,RETRIEVE,5,couchdb,2,3.3200000000000003,5.84,53.1,54.9,15.55,18.97,39.8,0.0,62.099276111685626,2.0032439633638637,2.443828809325562,0.6409092422980849
Raft_b100_tps100,Raft,100,100,retrieveEvidenceAndLog,RETRIEVE,5,orderer,4,0.485,0.95,177.75,189.0,178.9,214.9,298.4,0.0,62.099276111685626,23.046967527060783,27.684702747710244,4.805208992506245
Raft_b100_tps100,Raft,100,100,retrieveEvidenceAndLog,RETRIEVE,5,peer,2,3.14,6.42,249.0,258.0,172.6,114.45,83.4,0.0,62.099276111685626,22.235363863447127,14.744133222314739,1.3430108243130725
Raft_b100_tps100,Raft,100,100,submitEvidence,SUBMIT,1,ca,3,0.0,0.0,10.08,11.1,0.00072,0.0,0.0,0.0,62.173913043478265,9.264335664335664e-05,0.0,0.0
