scenario,rep,scope,phase,mode,consensus,batch,tps,k_fault,fault_family,fault_nodes,round_label,name,succ,fail,send_rate_tps,max_latency_s,min_latency_s,avg_latency_s,throughput_tps,SourceFile,SourceFolder,avg_latency_sec,total_tx,fail_rate
Raft_b100_tps100_k0_unsplit_highimpact-nested,1,SUBMIT,UNSPLIT,unsplit,Raft,100,100,0,highimpact-nested,,submitEvidence,submitEvidence,6005,0,100.0,3.2,0.82,1.94,97.5,Raft_b100_tps100_k0_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k0_unsplit_highimpact-nested,1.94,6005,0.0
Raft_b100_tps100_k0_unsplit_highimpact-nested,1,RETRIEVE,UNSPLIT,unsplit,Raft,100,100,0,highimpact-nested,,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.9,0.66,1.75,97.4,Raft_b100_tps100_k0_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k0_unsplit_highimpact-nested,1.75,6005,0.0
Raft_b100_tps100_k0_unsplit_highimpact-nested,2,SUBMIT,UNSPLIT,unsplit,Raft,100,100,0,highimpact-nested,,submitEvidence,submitEvidence,6005,0,100.0,3.17,0.85,1.96,97.6,Raft_b100_tps100_k0_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k0_unsplit_highimpact-nested,1.96,6005,0.0
Raft_b100_tps100_k0_unsplit_highimpact-nested,2,RETRIEVE,UNSPLIT,unsplit,Raft,100,100,0,highimpact-nested,,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.62,0.39,1.48,98.3,Raft_b100_tps100_k0_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k0_unsplit_highimpact-nested,1.48,6005,0.0
Raft_b100_tps100_k0_unsplit_highimpact-nested,3,SUBMIT,UNSPLIT,unsplit,Raft,100,100,0,highimpact-nested,,submitEvidence,submitEvidence,6005,0,100.1,3.27,0.53,1.69,97.5,Raft_b100_tps100_k0_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k0_unsplit_highimpact-nested,1.69,6005,0.0
Raft_b100_tps100_k0_unsplit_highimpact-nested,3,RETRIEVE,UNSPLIT,unsplit,Raft,100,100,0,highimpact-nested,,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,3.38,0.64,1.99,97.5,Raft_b100_tps100_k0_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k0_unsplit_highimpact-nested,1.99,6005,0.0
Raft_b100_tps100_k0_unsplit_highimpact-nested,4,SUBMIT,UNSPLIT,unsplit,Raft,100,100,0,highimpact-nested,,submitEvidence,submitEvidence,6005,0,100.1,3.2,0.82,1.98,97.5,Raft_b100_tps100_k0_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k0_unsplit_highimpact-nested,1.98,6005,0.0
Raft_b100_tps100_k0_unsplit_highimpact-nested,4,RETRIEVE,UNSPLIT,unsplit,Raft,100,100,0,highimpact-nested,,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.93,0.64,1.76,97.7,Raft_b100_tps100_k0_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k0_unsplit_highimpact-nested,1.76,6005,0.0
Raft_b100_tps100_k0_unsplit_highimpact-nested,5,SUBMIT,UNSPLIT,unsplit,Raft,100,100,0,highimpact-nested,,submitEvidence,submitEvidence,6005,0,100.1,14.02,0.97,4.25,97.5,Raft_b100_tps100_k0_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k0_unsplit_highimpact-nested,4.25,6005,0.0
Raft_b100_tps100_k0_unsplit_highimpact-nested,5,RETRIEVE,UNSPLIT,unsplit,Raft,100,100,0,highimpact-nested,,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.78,0.42,1.55,97.7,Raft_b100_tps100_k0_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k0_unsplit_highimpact-nested,1.55,6005,0.0
