consensus,batch,tps,k_fault,fault_family,round_label,reps,succ_total,fail_total,total_tx,send_rate_mean,throughput_mean,avg_latency_mean_s,max_latency_mean_s,fail_rate,succ_rate
Raft,100,100,0,highimpact-nested,submitEvidence,5,30025,0,30025,100.05999999999999,97.52000000000001,2.364,5.372,0.0,1.0
Raft,100,100,1,highimpact-nested,submitEvidence,5,30025,0,30025,100.05999999999999,97.62,1.9259999999999997,3.2019999999999995,0.0,1.0
Raft,100,100,2,highimpact-nested,submitEvidence,5,30025,0,30025,100.08,97.66,1.7920000000000003,3.064,0.0,1.0
Raft,100,100,3,highimpact-nested,submitEvidence,5,30025,0,30025,100.1,97.74,1.7900000000000003,3.102,0.0,1.0
SmartBFT,100,100,0,highimpact-nested,submitEvidence,5,30022,0,30022,100.08,96.47999999999999,3.684,6.43,0.0,1.0
SmartBFT,100,100,1,highimpact-nested,submitEvidence,5,30025,0,30025,100.1,78.64,28.07,43.484,0.0,1.0
SmartBFT,100,100,2,highimpact-nested,submitEvidence,5,25090,4935,30025,100.08,81.82000000000001,16.875999999999998,26.812,0.1643630308076603,0.8356369691923398
SmartBFT,100,100,3,highimpact-nested,submitEvidence,5,20087,9938,30025,100.08,76.46000000000001,11.088,29.701999999999998,0.3309908409658618,0.6690091590341383
Raft,100,100,0,highimpact-nested,retrieveEvidenceAndLog,5,30025,0,30025,100.1,97.72,1.706,2.9219999999999997,0.0,1.0
Raft,100,100,1,highimpact-nested,retrieveEvidenceAndLog,5,30025,0,30025,100.1,97.94,1.7100000000000002,2.896,0.0,1.0
Raft,100,100,2,highimpact-nested,retrieveEvidenceAndLog,5,30025,0,30025,100.1,97.67999999999999,1.688,2.814,0.0,1.0
Raft,100,100,3,highimpact-nested,retrieveEvidenceAndLog,5,30025,0,30025,100.1,97.76,1.6780000000000002,2.818,0.0,1.0
SmartBFT,100,100,0,highimpact-nested,retrieveEvidenceAndLog,5,30025,0,30025,100.1,96.74,2.952,4.848000000000001,0.0,1.0
SmartBFT,100,100,1,highimpact-nested,retrieveEvidenceAndLog,5,28044,1980,30024,100.08,81.4,25.784000000000002,40.986000000000004,0.06594724220623502,0.934052757793765
SmartBFT,100,100,2,highimpact-nested,retrieveEvidenceAndLog,5,30025,0,30025,100.08,91.53999999999999,17.306,27.865999999999996,0.0,1.0
SmartBFT,100,100,3,highimpact-nested,retrieveEvidenceAndLog,5,30025,0,30025,100.08,96.82000000000001,10.158,21.03,0.0,1.0
