scenario,rep,scope,phase,mode,consensus,batch,tps,k_fault,fault_family,fault_nodes,round_label,container,cpu_avg,cpu_max,mem_avg_mb,mem_max_mb,traffic_in_mb,traffic_out_mb,disc_read_b,disc_write_mb,SourceFile,SourceFolder,role
Raft_b100_tps100_k0_unsplit_highimpact-nested,1,SUBMIT,UNSPLIT,unsplit,Raft,100,100,0,highimpact-nested,,submitEvidence,ca_orderer,0.005172,0.15,9.944984,10.842276,0.0,0.0,0.0,0.0,Raft_b100_tps100_k0_unsplit_highimpact-nested_resource_metrics.csv,Raft_b100_tps100_k0_unsplit_highimpact-nested,ca
Raft_b100_tps100_k0_unsplit_highimpact-nested,1,SUBMIT,UNSPLIT,unsplit,Raft,100,100,0,highimpact-nested,,submitEvidence,ca_org1,0.00069,0.02,11.064285,11.492393,0.0,0.0,0.0,0.0,Raft_b100_tps100_k0_unsplit_highimpact-nested_resource_metrics.csv,Raft_b100_tps100_k0_unsplit_highimpact-nested,ca
Raft_b100_tps100_k0_unsplit_highimpact-nested,1,SUBMIT,UNSPLIT,unsplit,Raft,100,100,0,highimpact-nested,,submitEvidence,ca_org2,0.0,0.0,10.785869,11.471421,0.0004,0.0,0.0,0.0,Raft_b100_tps100_k0_unsplit_highimpact-nested_resource_metrics.csv,Raft_b100_tps100_k0_unsplit_highimpact-nested,ca
Raft_b100_tps100_k0_unsplit_highimpact-nested,1,SUBMIT,UNSPLIT,unsplit,Raft,100,100,0,highimpact-nested,,submitEvidence,couchdb0,24.282069,66.19,69.843478,84.85077,19.368,8.687,0.0,26.92,Raft_b100_tps100_k0_unsplit_highimpact-nested_resource_metrics.csv,Raft_b100_tps100_k0_unsplit_highimpact-nested,couchdb
Raft_b100_tps100_k0_unsplit_highimpact-nested,1,SUBMIT,UNSPLIT,unsplit,Raft,100,100,0,highimpact-nested,,submitEvidence,couchdb1,13.711724,45.22,70.117192,85.46943,16.678,5.998,0.0,27.01,Raft_b100_tps100_k0_unsplit_highimpact-nested_resource_metrics.csv,Raft_b100_tps100_k0_unsplit_highimpact-nested,couchdb
Raft_b100_tps100_k0_unsplit_highimpact-nested,1,SUBMIT,UNSPLIT,unsplit,Raft,100,100,0,highimpact-nested,,submitEvidence,dev-peer0.org1.example.com-forensicContract_1.0-9176218e88396841943270b3841b38bec7d2ec350c25128904c5162f8c96fcce,15.95,42.75,74.647402,81.736499,40.975,30.311,0.0,0.0,Raft_b100_tps100_k0_unsplit_highimpact-nested_resource_metrics.csv,Raft_b100_tps100_k0_unsplit_highimpact-nested,chaincode
Raft_b100_tps100_k0_unsplit_highimpact-nested,1,SUBMIT,UNSPLIT,unsplit,Raft,100,100,0,highimpact-nested,,submitEvidence,dev-peer0.org2.example.com-forensicContract_1.0-9176218e88396841943270b3841b38bec7d2ec350c25128904c5162f8c96fcce,0.001034,0.01,52.961766,52.97406,0.008,0.0079,0.0,0.0,Raft_b100_tps100_k0_unsplit_highimpact-nested_resource_metrics.csv,Raft_b100_tps100_k0_unsplit_highimpact-nested,chaincode
Raft_b100_tps100_k0_unsplit_highimpact-nested,1,SUBMIT,UNSPLIT,unsplit,Raft,100,100,0,highimpact-nested,,submitEvidence,orderer.example.com,1.692414,4.59,110.874618,190.94569,67.183,6.576,0.0,126.619,Raft_b100_tps100_k0_unsplit_highimpact-nested_resource_metrics.csv,Raft_b100_tps100_k0_unsplit_highimpact-nested,orderer
Raft_b100_tps100_k0_unsplit_highimpact-nested,1,SUBMIT,UNSPLIT,unsplit,Raft,100,100,0,highimpact-nested,,submitEvidence,orderer10.example.com,1.537931,4.55,105.533389,191.889408,67.328,6.734,0.0,126.623,Raft_b100_tps100_k0_unsplit_highimpact-nested_resource_metrics.csv,Raft_b100_tps100_k0_unsplit_highimpact-nested,orderer
Raft_b100_tps100_k0_unsplit_highimpact-nested,1,SUBMIT,UNSPLIT,unsplit,Raft,100,100,0,highimpact-nested,,submitEvidence,orderer2.example.com,1.567241,3.45,107.225212,198.81001,67.439,6.8,0.0,126.623,Raft_b100_tps100_k0_unsplit_highimpact-nested_resource_metrics.csv,Raft_b100_tps100_k0_unsplit_highimpact-nested,orderer
