consensus,batch,tps,k_fault,fault_family,round_label,phase,rep,role,role_count,cpu_avg_mean,traffic_in_mb_sum,traffic_out_mb_sum,disk_write_mb_sum,tx_duration_s,traffic_in_mbps,traffic_out_mbps
Raft,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,1,ca,3,0.00045966666666666665,0.004,0.0,0.0,60,0.0005333333333333334,0.0
Raft,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,1,chaincode,2,7.6167245,24.647,26.8476,0.0,60,3.2862666666666667,3.57968
Raft,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,1,couchdb,2,20.073793,20.4,25.22,43.8,60,2.7199999999999998,3.3626666666666667
Raft,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,1,orderer,10,1.7864136000000002,532.3,579.88,990.0,60,70.97333333333333,77.31733333333334
Raft,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,1,peer,2,18.747586,227.0,149.3,107.6,60,30.266666666666666,19.90666666666667
Raft,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,2,ca,3,0.0008046666666666666,0.0023,0.0,0.0,60,0.0003066666666666667,0.0
Raft,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,2,chaincode,2,7.5989655,24.728,26.927500000000002,0.0,60,3.297066666666667,3.5903333333333336
Raft,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,2,couchdb,2,25.143276,20.5,25.3,44.0,60,2.7333333333333334,3.3733333333333335
Raft,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,2,orderer,10,1.8416552,532.4,579.14,990.0,60,70.98666666666666,77.21866666666666
Raft,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,2,peer,2,19.7586205,226.9,150.2,107.8,60,30.253333333333334,20.026666666666664
Raft,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,3,ca,3,0.0005746666666666667,0.0025,0.0,0.0,60,0.0003333333333333333,0.0
Raft,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,3,chaincode,2,7.0781030000000005,24.648,26.8455,0.0,60,3.2864,3.5794
Raft,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,3,couchdb,2,19.327241,20.5,25.22,44.0,60,2.7333333333333334,3.3626666666666667
Raft,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,3,orderer,10,1.8142759000000002,530.3,578.34,990.0,60,70.70666666666666,77.11200000000001
Raft,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,3,peer,2,17.293447999999998,227.0,150.3,107.8,60,30.266666666666666,20.040000000000003
Raft,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,4,ca,3,0.0025286666666666665,0.0016,0.0,0.0,60,0.00021333333333333333,0.0
Raft,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,4,chaincode,2,7.457069000000001,24.665,26.863,0.0,60,3.2886666666666664,3.581733333333333
Raft,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,4,couchdb,2,25.9705175,20.5,25.22,43.8,60,2.7333333333333334,3.3626666666666667
Raft,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,4,orderer,10,2.0070689,532.1,579.46,990.0,60,70.94666666666667,77.26133333333334
Raft,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,4,peer,2,20.712931,227.1,150.4,107.8,60,30.279999999999998,20.053333333333335
Raft,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,5,ca,3,0.0025286666666666665,0.0021,0.0,0.0,60,0.00028,0.0
Raft,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,5,chaincode,2,7.945862,24.747,26.8443,0.0,60,3.2996,3.57924
Raft,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,5,couchdb,2,23.422069,20.5,25.22,43.6,60,2.7333333333333334,3.3626666666666667
Raft,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,5,orderer,10,1.9343104999999998,532.4,579.63,990.0,60,70.98666666666666,77.284
Raft,100,100,0,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,5,peer,2,19.117586499999998,227.0,149.3,107.6,60,30.266666666666666,19.90666666666667
Raft,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,1,ca,3,0.001954,0.0004,0.0,0.0,60,5.333333333333333e-05,0.0
Raft,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,1,chaincode,2,7.975517,40.983000000000004,30.3189,0.0,60,5.4644,4.04252
Raft,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,1,couchdb,2,18.9968965,36.046,14.684999999999999,53.93000000000001,60,4.806133333333333,1.9579999999999997
Raft,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,1,orderer,10,1.856931,672.347,733.0169999999999,1266.21,60,89.64626666666666,97.73559999999999
Raft,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,1,peer,2,17.965172,269.98900000000003,208.10399999999998,129.588,60,35.998533333333334,27.7472
Raft,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,2,ca,3,0.0003446666666666667,0.0014,0.0,0.0,60,0.00018666666666666666,0.0
Raft,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,2,chaincode,2,8.100862,40.982,30.3128,0.0,60,5.464266666666666,4.041706666666666
Raft,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,2,couchdb,2,19.592759,36.043,14.684,53.93000000000001,60,4.805733333333333,1.9578666666666666
Raft,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,2,orderer,10,1.8271381000000002,671.9259999999999,733.179,1266.222,60,89.59013333333333,97.7572
Raft,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,2,peer,2,18.711552,269.0,208.014,129.588,60,35.86666666666667,27.735200000000003
Raft,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,3,ca,3,0.004597666666666667,0.0021,0.0,0.0,60,0.00028,0.0
Raft,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,3,chaincode,2,8.111723999999999,41.081,30.41379,0.0,60,5.477466666666667,4.055172
Raft,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,3,couchdb,2,21.249483,36.044,14.686,54.129999999999995,60,4.805866666666666,1.9581333333333333
Raft,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,3,orderer,10,2.0780344,671.951,732.072,1266.214,60,89.59346666666667,97.6096
Raft,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,3,peer,2,19.417931,269.008,208.023,129.588,60,35.867733333333334,27.7364
Raft,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,4,ca,3,0.00022999999999999998,0.0031,0.0,0.0,60,0.0004133333333333333,0.0
Raft,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,4,chaincode,2,7.958793,40.98,30.3122,0.0,60,5.4639999999999995,4.041626666666667
Raft,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,4,couchdb,2,20.276724,36.045,14.684,53.93000000000001,60,4.806,1.9578666666666666
Raft,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,4,orderer,10,2.0823448000000004,671.716,732.581,1266.218,60,89.56213333333334,97.67746666666667
Raft,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,4,peer,2,19.835344499999998,269.005,208.01399999999998,129.588,60,35.867333333333335,27.7352
Raft,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,5,ca,3,0.0037503333333333334,0.0033,0.0,0.0,60,0.00044,0.0
Raft,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,5,chaincode,2,5.984844000000001,40.080999999999996,30.01331,0.0,60,5.344133333333333,4.001774666666667
Raft,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,5,couchdb,2,17.837344,36.144999999999996,14.814,53.33,60,4.819333333333333,1.9752
Raft,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,5,orderer,10,1.8488748999999998,671.4680000000001,732.3820000000001,1266.214,60,89.52906666666668,97.65093333333334
Raft,100,100,0,highimpact-nested,submitEvidence,UNSPLIT,5,peer,2,16.2784375,267.997,206.01399999999998,129.588,60,35.732933333333335,27.46853333333333
Raft,100,100,1,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,1,ca,3,0.002069,0.0034999999999999996,0.0,0.0,60,0.0004666666666666666,0.0
Raft,100,100,1,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,1,chaincode,2,7.350517,24.745,26.8456,0.0,60,3.2993333333333337,3.5794133333333336
Raft,100,100,1,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,1,couchdb,2,21.345,20.5,25.34,43.8,60,2.7333333333333334,3.3786666666666667
Raft,100,100,1,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,1,orderer,10,1.7477931000000002,551.5,552.08,1024.0,60,73.53333333333333,73.61066666666667
Raft,100,100,1,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,1,peer,2,18.621724,228.3,150.6,108.0,60,30.44,20.08
Raft,100,100,1,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,2,ca,3,0.002069,0.0040999999999999995,0.0,0.0,60,0.0005466666666666665,0.0
