scenario,rep,scope,phase,mode,consensus,batch,tps,k_fault,fault_profile,fault_nodes,round_label,name,succ,fail,send_rate_tps,max_latency_s,min_latency_s,avg_latency_s,throughput_tps,SourceFile,SourceFolder,avg_latency_sec,total_tx,fail_rate
Raft_b100_tps100_k3_unsplit_high-impact,1,SUBMIT,UNSPLIT,unsplit,Raft,100,100,3,high-impact,orderer.example.com|orderer2.example.com|orderer3.example.com,submitEvidence,submitEvidence,6005,0,100.1,2.12,0.29,0.81,96.7,Raft_b100_tps100_k3_unsplit_high-impact_summary_metrics.csv,Raft_b100_tps100_k3_unsplit_high-impact,0.81,6005,0.0
Raft_b100_tps100_k3_unsplit_high-impact,1,RETRIEVE,UNSPLIT,unsplit,Raft,100,100,3,high-impact,orderer.example.com|orderer2.example.com|orderer3.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.14,0.25,0.76,96.6,Raft_b100_tps100_k3_unsplit_high-impact_summary_metrics.csv,Raft_b100_tps100_k3_unsplit_high-impact,0.76,6005,0.0
Raft_b100_tps100_k3_unsplit_high-impact,2,SUBMIT,UNSPLIT,unsplit,Raft,100,100,3,high-impact,orderer.example.com|orderer2.example.com|orderer3.example.com,submitEvidence,submitEvidence,5505,500,100.1,19.04,0.32,3.57,78.0,Raft_b100_tps100_k3_unsplit_high-impact_summary_metrics.csv,Raft_b100_tps100_k3_unsplit_high-impact,3.57,6005,0.08326394671107411
Raft_b100_tps100_k3_unsplit_high-impact,2,RETRIEVE,UNSPLIT,unsplit,Raft,100,100,3,high-impact,orderer.example.com|orderer2.example.com|orderer3.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.21,0.29,0.94,96.5,Raft_b100_tps100_k3_unsplit_high-impact_summary_metrics.csv,Raft_b100_tps100_k3_unsplit_high-impact,0.94,6005,0.0
Raft_b100_tps100_k3_unsplit_high-impact,3,SUBMIT,UNSPLIT,unsplit,Raft,100,100,3,high-impact,orderer.example.com|orderer2.example.com|orderer3.example.com,submitEvidence,submitEvidence,6005,0,100.1,2.2,0.48,1.03,96.5,Raft_b100_tps100_k3_unsplit_high-impact_summary_metrics.csv,Raft_b100_tps100_k3_unsplit_high-impact,1.03,6005,0.0
Raft_b100_tps100_k3_unsplit_high-impact,3,RETRIEVE,UNSPLIT,unsplit,Raft,100,100,3,high-impact,orderer.example.com|orderer2.example.com|orderer3.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.17,0.23,0.78,96.6,Raft_b100_tps100_k3_unsplit_high-impact_summary_metrics.csv,Raft_b100_tps100_k3_unsplit_high-impact,0.78,6005,0.0
Raft_b100_tps100_k3_unsplit_high-impact,4,SUBMIT,UNSPLIT,unsplit,Raft,100,100,3,high-impact,orderer.example.com|orderer2.example.com|orderer3.example.com,submitEvidence,submitEvidence,6005,0,100.1,2.16,0.39,0.97,96.6,Raft_b100_tps100_k3_unsplit_high-impact_summary_metrics.csv,Raft_b100_tps100_k3_unsplit_high-impact,0.97,6005,0.0
Raft_b100_tps100_k3_unsplit_high-impact,4,RETRIEVE,UNSPLIT,unsplit,Raft,100,100,3,high-impact,orderer.example.com|orderer2.example.com|orderer3.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.19,0.32,0.86,96.6,Raft_b100_tps100_k3_unsplit_high-impact_summary_metrics.csv,Raft_b100_tps100_k3_unsplit_high-impact,0.86,6005,0.0
Raft_b100_tps100_k3_unsplit_high-impact,5,SUBMIT,UNSPLIT,unsplit,Raft,100,100,3,high-impact,orderer.example.com|orderer2.example.com|orderer3.example.com,submitEvidence,submitEvidence,6005,0,100.1,2.17,0.32,0.97,96.6,Raft_b100_tps100_k3_unsplit_high-impact_summary_metrics.csv,Raft_b100_tps100_k3_unsplit_high-impact,0.97,6005,0.0
Raft_b100_tps100_k3_unsplit_high-impact,5,RETRIEVE,UNSPLIT,unsplit,Raft,100,100,3,high-impact,orderer.example.com|orderer2.example.com|orderer3.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,23.02,0.34,7.6,97.0,Raft_b100_tps100_k3_unsplit_high-impact_summary_metrics.csv,Raft_b100_tps100_k3_unsplit_high-impact,7.6,6005,0.0
Raft_b100_tps100_k3_unsplit_limited-impact,1,SUBMIT,UNSPLIT,unsplit,Raft,100,100,3,limited-impact,orderer8.example.com|orderer9.example.com|orderer10.example.com,submitEvidence,submitEvidence,6005,0,100.1,2.15,0.29,0.82,96.6,Raft_b100_tps100_k3_unsplit_limited-impact_summary_metrics.csv,Raft_b100_tps100_k3_unsplit_limited-impact,0.82,6005,0.0
