scenario,rep,scope,phase,mode,consensus,batch,tps,k_fault,fault_profile,fault_nodes,round_label,container,cpu_avg,cpu_max,mem_avg_mb,mem_max_mb,traffic_in_mb,traffic_out_mb,disc_read_b,disc_write_mb,SourceFile,SourceFolder,role
Raft_b100_tps100_k3_unsplit_high-impact,1,SUBMIT,UNSPLIT,unsplit,Raft,100,100,3,high-impact,orderer.example.com|orderer2.example.com|orderer3.example.com,submitEvidence,ca_orderer,0.007333,0.22,9.711632,10.632561,0.0021,0.0,0.0,0.0,Raft_b100_tps100_k3_unsplit_high-impact_resource_metrics.csv,Raft_b100_tps100_k3_unsplit_high-impact,ca
Raft_b100_tps100_k3_unsplit_high-impact,1,SUBMIT,UNSPLIT,unsplit,Raft,100,100,3,high-impact,orderer.example.com|orderer2.example.com|orderer3.example.com,submitEvidence,ca_org1,0.0,0.0,10.148258,11.534336,0.002,0.0,0.0,0.0,Raft_b100_tps100_k3_unsplit_high-impact_resource_metrics.csv,Raft_b100_tps100_k3_unsplit_high-impact,ca
Raft_b100_tps100_k3_unsplit_high-impact,1,SUBMIT,UNSPLIT,unsplit,Raft,100,100,3,high-impact,orderer.example.com|orderer2.example.com|orderer3.example.com,submitEvidence,ca_org2,0.0,0.0,11.217666,11.387535,0.002,0.0,0.0,0.0,Raft_b100_tps100_k3_unsplit_high-impact_resource_metrics.csv,Raft_b100_tps100_k3_unsplit_high-impact,ca
Raft_b100_tps100_k3_unsplit_high-impact,1,SUBMIT,UNSPLIT,unsplit,Raft,100,100,3,high-impact,orderer.example.com|orderer2.example.com|orderer3.example.com,submitEvidence,couchdb0,24.892333,49.94,62.012086,68.293755,19.373,8.784,0.0,30.82,Raft_b100_tps100_k3_unsplit_high-impact_resource_metrics.csv,Raft_b100_tps100_k3_unsplit_high-impact,couchdb
Raft_b100_tps100_k3_unsplit_high-impact,1,SUBMIT,UNSPLIT,unsplit,Raft,100,100,3,high-impact,orderer.example.com|orderer2.example.com|orderer3.example.com,submitEvidence,couchdb1,13.804667,32.39,62.592298,68.031611,16.676,6.087,0.0,30.91,Raft_b100_tps100_k3_unsplit_high-impact_resource_metrics.csv,Raft_b100_tps100_k3_unsplit_high-impact,couchdb
Raft_b100_tps100_k3_unsplit_high-impact,1,SUBMIT,UNSPLIT,unsplit,Raft,100,100,3,high-impact,orderer.example.com|orderer2.example.com|orderer3.example.com,submitEvidence,dev-peer0.org1.example.com-forensicContract_1.0-9176218e88396841943270b3841b38bec7d2ec350c25128904c5162f8c96fcce,13.814,22.58,73.490148,77.112279,41.078,30.3068,0.0,0.0,Raft_b100_tps100_k3_unsplit_high-impact_resource_metrics.csv,Raft_b100_tps100_k3_unsplit_high-impact,chaincode
Raft_b100_tps100_k3_unsplit_high-impact,1,SUBMIT,UNSPLIT,unsplit,Raft,100,100,3,high-impact,orderer.example.com|orderer2.example.com|orderer3.example.com,submitEvidence,dev-peer0.org2.example.com-forensicContract_1.0-9176218e88396841943270b3841b38bec7d2ec350c25128904c5162f8c96fcce,0.001333,0.02,53.482969,53.498348,0.009,0.00688,0.0,0.0,Raft_b100_tps100_k3_unsplit_high-impact_resource_metrics.csv,Raft_b100_tps100_k3_unsplit_high-impact,chaincode
Raft_b100_tps100_k3_unsplit_high-impact,1,SUBMIT,UNSPLIT,unsplit,Raft,100,100,3,high-impact,orderer.example.com|orderer2.example.com|orderer3.example.com,submitEvidence,orderer.example.com,0.571333,3.05,33.060902,108.213043,22.532,22.638,0.0,41.423,Raft_b100_tps100_k3_unsplit_high-impact_resource_metrics.csv,Raft_b100_tps100_k3_unsplit_high-impact,orderer
Raft_b100_tps100_k3_unsplit_high-impact,1,SUBMIT,UNSPLIT,unsplit,Raft,100,100,3,high-impact,orderer.example.com|orderer2.example.com|orderer3.example.com,submitEvidence,orderer10.example.com,1.842667,3.76,104.472423,178.048205,69.369,69.416,0.0,124.623,Raft_b100_tps100_k3_unsplit_high-impact_resource_metrics.csv,Raft_b100_tps100_k3_unsplit_high-impact,orderer
Raft_b100_tps100_k3_unsplit_high-impact,1,SUBMIT,UNSPLIT,unsplit,Raft,100,100,3,high-impact,orderer.example.com|orderer2.example.com|orderer3.example.com,submitEvidence,orderer2.example.com,0.538333,2.93,30.271341,100.23338,22.379,2.192,0.0,41.423,Raft_b100_tps100_k3_unsplit_high-impact_resource_metrics.csv,Raft_b100_tps100_k3_unsplit_high-impact,orderer
