consensus,batch,tps,orderer_count,round_label,reps,succ_total,fail_total,total_tx,send_rate_mean,throughput_mean,avg_latency_mean_s,max_latency_mean_s,fail_rate
Raft,100,100,4,submitEvidence,5,30025,0,30025,100.1,97.94,1.656,2.7800000000000002,0.0
Raft,100,100,7,submitEvidence,5,30025,0,30025,100.08,97.74,1.7060000000000002,2.8240000000000003,0.0
Raft,100,100,10,submitEvidence,5,30025,0,30025,100.1,97.58,1.748,2.972,0.0
SmartBFT,100,100,4,submitEvidence,5,30025,0,30025,100.1,97.26,2.008,3.434,0.0
SmartBFT,100,100,7,submitEvidence,5,30025,0,30025,100.1,96.96000000000001,2.5460000000000003,4.306,0.0
SmartBFT,100,100,10,submitEvidence,5,30025,0,30025,100.1,95.92,3.1,4.970000000000001,0.0
Raft,100,100,4,retrieveEvidenceAndLog,5,30025,0,30025,100.1,98.12,1.568,2.686,0.0
Raft,100,100,7,retrieveEvidenceAndLog,5,30025,0,30025,100.1,98.03999999999999,1.6280000000000001,2.802,0.0
Raft,100,100,10,retrieveEvidenceAndLog,5,30025,0,30025,100.1,97.86,1.6640000000000001,2.848,0.0
SmartBFT,100,100,4,retrieveEvidenceAndLog,5,30025,0,30025,100.1,97.46000000000001,1.86,3.2079999999999997,0.0
SmartBFT,100,100,7,retrieveEvidenceAndLog,5,30025,0,30025,100.1,97.4,2.12,3.758,0.0
SmartBFT,100,100,10,retrieveEvidenceAndLog,5,30025,0,30025,100.1,96.56,2.984,5.292,0.0
