scenario,rep,phase,consensus,batch,tps,orderer_count,round_label,container,cpu_avg,cpu_max,mem_avg_mb,mem_max_mb,traffic_in_mb,traffic_out_mb,disc_read_b,disc_write_mb,SourceFile,SourceFolder,role
Raft_b100_tps100_ord10,1,SUBMIT,Raft,100,100,10,submitEvidence,/dev-peer0.org2.example.com-forensicContract_1.0-9176218e88396841943270b3841b38bec7d2ec350c25128904c5162f8c96fcce,0.0,0.0,50.8,50.8,0.00477,0.00453,0.0,0.0,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,chaincode
Raft_b100_tps100_ord10,1,SUBMIT,Raft,100,100,10,submitEvidence,/dev-peer0.org1.example.com-forensicContract_1.0-9176218e88396841943270b3841b38bec7d2ec350c25128904c5162f8c96fcce,2.22,3.52,72.3,73.3,31.3,23.2,0.0,0.0,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,chaincode
Raft_b100_tps100_ord10,1,SUBMIT,Raft,100,100,10,submitEvidence,/peer0.org2.example.com,0.59,2.51,236.0,298.0,50.9,12.9,0.0,49.3,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,peer
Raft_b100_tps100_ord10,1,SUBMIT,Raft,100,100,10,submitEvidence,/peer0.org1.example.com,4.62,7.22,260.0,340.0,155.0,146.0,0.0,49.3,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,peer
Raft_b100_tps100_ord10,1,SUBMIT,Raft,100,100,10,submitEvidence,/orderer6.example.com,0.18,0.4,132.0,176.0,51.4,5.16,0.0,97.1,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,1,SUBMIT,Raft,100,100,10,submitEvidence,/couchdb1,2.4,6.86,73.7,82.0,12.7,4.55,0.0,20.8,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,couchdb
Raft_b100_tps100_ord10,1,SUBMIT,Raft,100,100,10,submitEvidence,/orderer7.example.com,0.45,1.06,177.0,240.0,49.1,418.0,0.0,97.1,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,1,SUBMIT,Raft,100,100,10,submitEvidence,/orderer2.example.com,0.17,0.46,134.0,185.0,51.2,5.06,0.0,97.1,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,1,SUBMIT,Raft,100,100,10,submitEvidence,/orderer9.example.com,0.18,0.48,140.0,203.0,51.4,51.3,0.0,97.1,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,1,SUBMIT,Raft,100,100,10,submitEvidence,/orderer10.example.com,0.18,0.63,135.0,192.0,51.6,5.38,0.0,97.1,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,1,SUBMIT,Raft,100,100,10,submitEvidence,/orderer4.example.com,0.18,0.54,138.0,195.0,51.5,51.5,0.0,97.1,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,1,SUBMIT,Raft,100,100,10,submitEvidence,/orderer3.example.com,0.19,0.48,137.0,180.0,51.4,5.16,0.0,97.1,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,1,SUBMIT,Raft,100,100,10,submitEvidence,/orderer.example.com,0.18,0.49,134.0,183.0,51.6,5.39,0.0,97.1,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,1,SUBMIT,Raft,100,100,10,submitEvidence,/orderer8.example.com,0.2,0.57,131.0,184.0,51.3,5.09,0.0,97.1,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,1,SUBMIT,Raft,100,100,10,submitEvidence,/couchdb0,4.44,8.86,75.0,82.1,14.7,6.62,0.0,20.8,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,couchdb
Raft_b100_tps100_ord10,1,SUBMIT,Raft,100,100,10,submitEvidence,/orderer5.example.com,0.18,0.56,132.0,181.0,51.3,5.13,0.0,97.1,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,1,SUBMIT,Raft,100,100,10,submitEvidence,/ca_orderer,0.0,0.0,9.06,10.4,0.0,0.0,0.0,0.0,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,ca
Raft_b100_tps100_ord10,1,SUBMIT,Raft,100,100,10,submitEvidence,/ca_org1,0.0,0.0,10.6,10.6,0.0,0.0,0.0,0.0,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,ca
Raft_b100_tps100_ord10,1,SUBMIT,Raft,100,100,10,submitEvidence,/ca_org2,0.0,0.0,10.8,10.8,0.0,0.0,0.0,0.0,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,ca
Raft_b100_tps100_ord10,1,SUBMIT,Raft,100,100,10,submitEvidence,ORDERERS_AGG,0.209,0.567,139.0,191.9,511.8,557.17,,971.0,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderers_agg
Raft_b100_tps100_ord10,1,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/dev-peer0.org2.example.com-forensicContract_1.0-9176218e88396841943270b3841b38bec7d2ec350c25128904c5162f8c96fcce,2.01,2.92,71.4,72.2,18.9,20.5,0.0,0.0,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,chaincode
Raft_b100_tps100_ord10,1,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/dev-peer0.org1.example.com-forensicContract_1.0-9176218e88396841943270b3841b38bec7d2ec350c25128904c5162f8c96fcce,0.0,0.0,73.2,73.2,0.00443,0.00443,0.0,0.0,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,chaincode
Raft_b100_tps100_ord10,1,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/peer0.org2.example.com,4.28,6.45,305.0,328.0,126.0,107.0,0.0,41.2,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,peer
Raft_b100_tps100_ord10,1,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/peer0.org1.example.com,0.3,1.36,279.0,294.0,46.5,7.41,0.0,41.2,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,peer
Raft_b100_tps100_ord10,1,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/orderer6.example.com,0.19,0.46,180.0,193.0,40.8,4.18,0.0,75.4,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,1,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/couchdb1,2.92,7.68,59.1,62.4,8.25,8.96,0.0,16.7,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,couchdb
Raft_b100_tps100_ord10,1,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/orderer7.example.com,0.39,0.63,219.0,243.0,39.1,331.0,0.0,75.4,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,1,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/orderer2.example.com,0.16,0.29,178.0,192.0,40.9,4.46,0.0,75.4,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,1,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/orderer9.example.com,0.14,0.31,194.0,204.0,40.6,40.5,0.0,75.4,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,1,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/orderer10.example.com,0.15,0.26,178.0,188.0,40.4,3.96,0.0,75.4,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,1,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/orderer4.example.com,0.15,0.25,187.0,196.0,40.7,40.6,0.0,75.4,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,1,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/orderer3.example.com,0.14,0.42,184.0,191.0,40.6,4.09,0.0,75.4,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,1,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/orderer.example.com,0.18,0.36,179.0,186.0,40.6,4.15,0.0,75.4,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,1,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/orderer8.example.com,0.14,0.37,182.0,193.0,40.8,4.33,0.0,75.4,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,1,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/couchdb0,1.61,6.98,60.5,65.0,7.17,9.86,0.0,16.7,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,couchdb
Raft_b100_tps100_ord10,1,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/orderer5.example.com,0.14,0.39,176.0,185.0,40.2,3.77,0.0,75.4,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,1,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/ca_orderer,0.0,0.0,8.6,8.77,0.0,0.0,0.0,0.0,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,ca
Raft_b100_tps100_ord10,1,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/ca_org1,0.0,0.0,9.39,10.6,6.68e-05,0.0,0.0,0.0,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,ca
Raft_b100_tps100_ord10,1,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/ca_org2,0.0,0.0,9.54,10.8,0.0,0.0,0.0,0.0,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,ca
Raft_b100_tps100_ord10,1,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,ORDERERS_AGG,0.178,0.374,185.7,197.1,404.7,441.04,,754.0,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderers_agg
