consensus,batch,tps,orderer_count,round_label,phase,role,reps_x,cpu_avg_mean,traffic_in_mbps,traffic_out_mbps,disk_write_mb_sum,reps_y,succ_total,fail_total,total_tx,send_rate_mean,throughput_mean,avg_latency_mean_s,max_latency_mean_s,fail_rate,orderer_cpu_avg_per_tps
Raft,100,100,4,submitEvidence,SUBMIT,orderer,5,0.41950000000000004,30.021333333333338,36.18933333333334,388.47999999999996,5,30025,0,30025,100.1,97.94,1.656,2.78,0.0,0.004283234633449051
Raft,100,100,7,submitEvidence,SUBMIT,orderer,5,0.2905714285714286,49.36266666666667,55.50586666666667,680.26,5,30025,0,30025,100.08,97.74,1.7060000000000002,2.8240000000000003,0.0,0.0029729018679294926
Raft,100,100,10,submitEvidence,SUBMIT,orderer,5,0.2374,68.23733333333334,74.38586666666667,971.8,5,30025,0,30025,100.1,97.58,1.748,2.972,0.0,0.0024328755892600944
SmartBFT,100,100,4,submitEvidence,SUBMIT,orderer,5,2.259,48.29333333333333,35.970666666666666,370.32,5,30025,0,30025,100.1,97.26,2.008,3.434,0.0,0.023226403454657617
SmartBFT,100,100,7,submitEvidence,SUBMIT,orderer,5,2.3037142857142854,95.53333333333333,64.81333333333333,647.5,5,30025,0,30025,100.1,96.96,2.5460000000000003,4.306,0.0,0.023759429514380006
SmartBFT,100,100,10,submitEvidence,SUBMIT,orderer,5,2.465,146.768,97.624,924.8,5,30025,0,30025,100.1,95.92,3.1,4.970000000000001,0.0,0.025698498748957462
Raft,100,100,4,retrieveEvidenceAndLog,RETRIEVE,orderer,5,0.437,23.770666666666664,28.615199999999998,301.76000000000005,5,30025,0,30025,100.1,98.12,1.568,2.686,0.0,0.004453730126375866
Raft,100,100,7,retrieveEvidenceAndLog,RETRIEVE,orderer,5,0.2817142857142857,39.050666666666665,43.895466666666664,527.8000000000001,5,30025,0,30025,100.1,98.04,1.628,2.802,0.0,0.0028734627265839014
Raft,100,100,10,retrieveEvidenceAndLog,RETRIEVE,orderer,5,0.21339999999999998,53.965333333333334,58.763999999999996,756.98,5,30025,0,30025,100.1,97.86,1.664,2.848,0.0,0.0021806662579194765
SmartBFT,100,100,4,retrieveEvidenceAndLog,RETRIEVE,orderer,5,2.309,37.767999999999994,28.065866666666665,292.08000000000004,5,30025,0,30025,100.1,97.46,1.86,3.2079999999999997,0.0,0.023691770982967375
SmartBFT,100,100,7,retrieveEvidenceAndLog,RETRIEVE,orderer,5,2.3902857142857146,72.36266666666666,48.14426666666667,511.0,5,30025,0,30025,100.1,97.4,2.12,3.758,0.0,0.0245409210912291
SmartBFT,100,100,10,retrieveEvidenceAndLog,RETRIEVE,orderer,5,2.4703999999999997,113.57066666666667,74.76533333333333,730.0,5,30025,0,30025,100.1,96.56,2.984,5.292,0.0,0.025584092792046393
