consensus,batch,tps,orderer_count,round_label,phase,role,reps,cpu_avg_mean,traffic_in_mbps,traffic_out_mbps,disk_write_mb_sum
Raft,100,100,4,submitEvidence,SUBMIT,ca,5,0.0,0.00029264,0.0,0.0
Raft,100,100,7,submitEvidence,SUBMIT,ca,5,0.0,0.0002749866666666667,0.0,0.0
Raft,100,100,10,submitEvidence,SUBMIT,ca,5,0.0,0.00015911999999999998,0.0,0.0
SmartBFT,100,100,4,submitEvidence,SUBMIT,ca,5,0.0,0.0003757066666666667,0.0,0.0
SmartBFT,100,100,7,submitEvidence,SUBMIT,ca,5,0.0,0.00010642666666666667,0.0,0.0
SmartBFT,100,100,10,submitEvidence,SUBMIT,ca,5,0.0,0.00012420266666666666,0.0,0.0
Raft,100,100,4,submitEvidence,SUBMIT,chaincode,5,1.107,4.173936266666667,3.0938303999999994,0.0
Raft,100,100,7,submitEvidence,SUBMIT,chaincode,5,1.123,4.179267733333334,3.0938370666666666,0.0
Raft,100,100,10,submitEvidence,SUBMIT,chaincode,5,1.142,4.176678133333334,3.0912672,0.0
SmartBFT,100,100,4,submitEvidence,SUBMIT,chaincode,5,1.2189999999999999,4.1473162666666665,3.0831850666666667,0.0
SmartBFT,100,100,7,submitEvidence,SUBMIT,chaincode,5,1.278,4.120630666666666,3.0752426666666666,0.0
SmartBFT,100,100,10,submitEvidence,SUBMIT,chaincode,5,1.391,4.054036,3.0646416,0.0
Raft,100,100,4,submitEvidence,SUBMIT,couchdb,5,2.909,3.664,1.4885333333333333,41.480000000000004
Raft,100,100,7,submitEvidence,SUBMIT,couchdb,5,3.6189999999999998,3.664,1.4888,41.6
Raft,100,100,10,submitEvidence,SUBMIT,couchdb,5,3.8519999999999994,3.6586666666666665,1.4890666666666668,41.6
SmartBFT,100,100,4,submitEvidence,SUBMIT,couchdb,5,4.0329999999999995,3.6586666666666665,1.4885333333333333,40.92
SmartBFT,100,100,7,submitEvidence,SUBMIT,couchdb,5,4.218,3.6533333333333333,1.485866666666667,40.12
SmartBFT,100,100,10,submitEvidence,SUBMIT,couchdb,5,4.225,3.6533333333333333,1.485866666666667,39.519999999999996
Raft,100,100,4,submitEvidence,SUBMIT,orderer,5,0.41950000000000004,30.021333333333338,36.18933333333334,388.47999999999996
Raft,100,100,7,submitEvidence,SUBMIT,orderer,5,0.2905714285714286,49.36266666666667,55.50586666666667,680.26
Raft,100,100,10,submitEvidence,SUBMIT,orderer,5,0.2374,68.23733333333334,74.38586666666667,971.8
SmartBFT,100,100,4,submitEvidence,SUBMIT,orderer,5,2.259,48.29333333333333,35.970666666666666,370.32
SmartBFT,100,100,7,submitEvidence,SUBMIT,orderer,5,2.3037142857142854,95.53333333333333,64.81333333333333,647.5
SmartBFT,100,100,10,submitEvidence,SUBMIT,orderer,5,2.465,146.768,97.624,924.8
Raft,100,100,4,submitEvidence,SUBMIT,peer,5,2.868,27.330666666666666,21.053333333333335,98.6
Raft,100,100,7,submitEvidence,SUBMIT,peer,5,3.006,27.386666666666667,21.106666666666666,98.6
Raft,100,100,10,submitEvidence,SUBMIT,peer,5,3.094,27.464,21.162666666666667,98.6
SmartBFT,100,100,4,submitEvidence,SUBMIT,peer,5,3.857,27.866666666666667,40.013333333333335,98.55999999999999
SmartBFT,100,100,7,submitEvidence,SUBMIT,peer,5,4.196,28.373333333333335,58.919999999999995,98.44000000000001
SmartBFT,100,100,10,submitEvidence,SUBMIT,peer,5,4.367,28.813333333333333,77.72,98.4
Raft,100,100,4,retrieveEvidenceAndLog,RETRIEVE,ca,5,0.0,0.00017304,0.0,0.0
Raft,100,100,7,retrieveEvidenceAndLog,RETRIEVE,ca,5,0.0,0.00016514666666666666,0.0,0.0
Raft,100,100,10,retrieveEvidenceAndLog,RETRIEVE,ca,5,0.0,9.175466666666666e-05,0.0,0.0
SmartBFT,100,100,4,retrieveEvidenceAndLog,RETRIEVE,ca,5,0.0,0.000218,0.0,0.0
SmartBFT,100,100,7,retrieveEvidenceAndLog,RETRIEVE,ca,5,0.0,8.826666666666665e-05,0.0,0.0
SmartBFT,100,100,10,retrieveEvidenceAndLog,RETRIEVE,ca,5,0.0,9.786666666666667e-05,0.0,0.0
Raft,100,100,4,retrieveEvidenceAndLog,RETRIEVE,chaincode,5,1.1,2.5125554666666665,2.7338296,0.0
Raft,100,100,7,retrieveEvidenceAndLog,RETRIEVE,chaincode,5,1.063,2.515221066666667,2.7418298666666665,0.0
Raft,100,100,10,retrieveEvidenceAndLog,RETRIEVE,chaincode,5,1.018,2.5126141333333334,2.733921866666667,0.0
SmartBFT,100,100,4,retrieveEvidenceAndLog,RETRIEVE,chaincode,5,1.1039999999999999,2.4912408,2.731168266666667,0.0
SmartBFT,100,100,7,retrieveEvidenceAndLog,RETRIEVE,chaincode,5,1.238,2.4645978666666664,2.7232354666666665,0.0
SmartBFT,100,100,10,retrieveEvidenceAndLog,RETRIEVE,chaincode,5,1.356,2.3953106666666666,2.704612,0.0
Raft,100,100,4,retrieveEvidenceAndLog,RETRIEVE,couchdb,5,2.5100000000000002,2.0610666666666666,2.510933333333333,33.4
Raft,100,100,7,retrieveEvidenceAndLog,RETRIEVE,couchdb,5,2.806,2.0576,2.510933333333333,33.36
Raft,100,100,10,retrieveEvidenceAndLog,RETRIEVE,couchdb,5,3.351,2.0591999999999997,2.510933333333333,33.36
SmartBFT,100,100,4,retrieveEvidenceAndLog,RETRIEVE,couchdb,5,3.629,2.0584000000000002,2.510133333333333,32.8
SmartBFT,100,100,7,retrieveEvidenceAndLog,RETRIEVE,couchdb,5,3.9799999999999995,2.0520000000000005,2.510133333333333,32.28
SmartBFT,100,100,10,retrieveEvidenceAndLog,RETRIEVE,couchdb,5,3.9239999999999995,2.0536000000000003,2.514933333333333,31.640000000000004
Raft,100,100,4,retrieveEvidenceAndLog,RETRIEVE,orderer,5,0.437,23.770666666666664,28.615199999999998,301.76000000000005
Raft,100,100,7,retrieveEvidenceAndLog,RETRIEVE,orderer,5,0.2817142857142857,39.050666666666665,43.895466666666664,527.8000000000001
Raft,100,100,10,retrieveEvidenceAndLog,RETRIEVE,orderer,5,0.21339999999999998,53.965333333333334,58.763999999999996,756.98
