consensus,batch,tps,orderer_count,round_label,phase,rep,role,role_count,cpu_avg_mean,traffic_in_mb_sum,traffic_out_mb_sum,disk_write_mb_sum,tx_duration_s,traffic_in_mbps,traffic_out_mbps
Raft,100,100,4,retrieveEvidenceAndLog,RETRIEVE,1,ca,3,0.0,0.00072,0.0,0.0,60,9.6e-05,0.0
Raft,100,100,4,retrieveEvidenceAndLog,RETRIEVE,1,chaincode,2,1.095,18.904,20.50382,0.0,60,2.5205333333333333,2.733842666666667
Raft,100,100,4,retrieveEvidenceAndLog,RETRIEVE,1,couchdb,2,1.72,15.44,18.83,33.4,60,2.0586666666666664,2.5106666666666664
Raft,100,100,4,retrieveEvidenceAndLog,RETRIEVE,1,orderer,4,0.42,178.3,214.4,301.6,60,23.773333333333333,28.586666666666666
Raft,100,100,4,retrieveEvidenceAndLog,RETRIEVE,1,peer,2,2.49,172.5,114.37,82.4,60,23.0,15.249333333333334
Raft,100,100,4,retrieveEvidenceAndLog,RETRIEVE,2,ca,3,0.0,0.002163,0.0,0.0,60,0.0002884,0.0
Raft,100,100,4,retrieveEvidenceAndLog,RETRIEVE,2,chaincode,2,1.0,18.904329999999998,20.50361,0.0,60,2.5205773333333332,2.7338146666666665
Raft,100,100,4,retrieveEvidenceAndLog,RETRIEVE,2,couchdb,2,2.68,15.42,18.83,33.4,60,2.056,2.5106666666666664
Raft,100,100,4,retrieveEvidenceAndLog,RETRIEVE,2,orderer,4,0.4025,178.3,214.66,302.0,60,23.773333333333333,28.621333333333332
Raft,100,100,4,retrieveEvidenceAndLog,RETRIEVE,2,peer,2,2.7150000000000003,172.5,114.37,82.4,60,23.0,15.249333333333334
Raft,100,100,4,retrieveEvidenceAndLog,RETRIEVE,3,ca,3,0.0,0.0014429999999999998,0.0,0.0,60,0.0001924,0.0
Raft,100,100,4,retrieveEvidenceAndLog,RETRIEVE,3,chaincode,2,1.12,18.80422,20.50374,0.0,60,2.5072293333333335,2.733832
Raft,100,100,4,retrieveEvidenceAndLog,RETRIEVE,3,couchdb,2,2.275,15.45,18.83,33.4,60,2.06,2.5106666666666664
Raft,100,100,4,retrieveEvidenceAndLog,RETRIEVE,3,orderer,4,0.4325,178.5,215.0,301.6,60,23.8,28.666666666666668
Raft,100,100,4,retrieveEvidenceAndLog,RETRIEVE,3,peer,2,2.3,172.5,114.39,82.4,60,23.0,15.252
Raft,100,100,4,retrieveEvidenceAndLog,RETRIEVE,4,ca,3,0.0,0.00072,0.0,0.0,60,9.6e-05,0.0
